DATAFLOW,LAST UPDATE,freq,cons_fp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2010,3.43,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2011,3.44,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2012,3.36,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2013,3.37,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2014,3.36,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2015,3.38,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2016,3.4,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2017,3.35,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2018,3.36,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2019,3.35,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2020,3.25,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2021,3.31,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Austria,2022,3.35,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2010,3.62,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2011,3.66,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2012,3.57,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2013,3.65,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2014,3.71,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2015,3.68,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2016,3.59,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2017,3.74,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2018,3.63,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2019,3.74,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2020,3.56,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2021,3.63,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Belgium,2022,3.52,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2010,1.93,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2011,1.94,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2012,1.97,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2013,1.99,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2014,2.05,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2015,2.16,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2016,2.19,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2017,2.21,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2018,2.29,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2019,2.38,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2020,2.24,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2021,2.36,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Bulgaria,2022,2.59,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Cyprus,2010,3.76,,
ESTAT:SDG_12_31(1.0),11/06/24 23:00:00,Annual,Single weighted score,Planetary Boundary,Cyprus,2011,3.72,,
